"","pokedex_number","name","type1","type2","hp","attack","defense","sp_attack","sp_defense","speed","base_total","height_m","weight_kg","is_legendary"
"65","874","Stonjourner","rock",NA,"100","125","135","20","20","70","470","2.5","520","0"
"66","875","Eiscue","ice",NA,"75","80","110","65","90","50","470","1.4","89","0"
"67","876","Indeedee","psychic","normal","60","65","55","105","95","95","475","0.9","28","0"
"68","877","Morpeko","electric","dark","58","95","58","70","58","97","436","0.3","3","0"
"69","878","Cufant","steel",NA,"72","80","49","40","49","40","330","1.2","100","0"
"70","879","Copperajah","steel",NA,"122","130","69","80","69","30","500","3","650","0"
"71","880","Dracozolt","electric","dragon","90","100","90","80","70","75","505","1.8","190","0"
"72","881","Arctozolt","electric","ice","90","100","90","90","80","55","505","2.3","150","0"
"73","882","Dracovish","water","dragon","90","90","100","70","80","75","505","2.3","215","0"
"74","883","Arctovish","water","ice","90","90","100","80","90","55","505","2","175","0"
"75","884","Duraludon","steel","dragon","70","95","115","120","50","85","535","1.8","40","0"
"76","885","Dreepy","dragon","ghost","28","60","30","40","30","82","270","0.5","2","0"
"77","886","Drakloak","dragon","ghost","68","80","50","60","50","102","410","1.4","11","0"
"78","887","Dragapult","dragon","ghost","88","120","75","100","75","142","600","3","50","0"
"79","888","Zacian","fairy","steel","92","170","115","80","115","148","720","2.8","355","1"
"80","889","Zamazenta","fighting","steel","92","130","145","80","145","128","720","2.9","785","1"
"81","890","Eternatus","poison","dragon","140","85","95","145","95","130","690","20","950","1"
"82","4","Charmander","fire",NA,"39","52","43","60","50","65","309","0.6","8.5","0"
"83","5","Charmeleon","fire",NA,"58","64","58","80","65","80","405","1.1","19","0"
"84","6","Charizard","fire","flying","78","104","78","159","115","100","634","1.7","90.5","0"
"85","10","Caterpie","bug",NA,"45","30","35","20","20","45","195","0.3","2.9","0"
"86","11","Metapod","bug",NA,"50","20","55","25","25","30","205","0.7","9.9","0"
"87","12","Butterfree","bug","flying","60","45","50","90","80","70","395","1.1","32","0"
"88","25","Pikachu","electric",NA,"35","55","40","50","50","90","320","0.4","6","0"
"89","26","Raichu","electric","electric","60","85","50","95","85","110","485",NA,NA,"0"
"90","35","Clefairy","fairy",NA,"70","45","48","60","65","35","323","0.6","7.5","0"
"91","36","Clefable","fairy",NA,"95","70","73","95","90","60","483","1.3","40","0"
"92","37","Vulpix","fire","ice","38","41","40","50","65","65","299",NA,NA,"0"
"93","38","Ninetales","fire","ice","73","67","75","81","100","109","505",NA,NA,"0"
"94","43","Oddish","grass","poison","45","50","55","75","65","30","320","0.5","5.4","0"
"95","44","Gloom","grass","poison","60","65","70","85","75","40","395","0.8","8.6","0"
"96","45","Vileplume","grass","poison","75","80","85","110","90","50","490","1.2","18.6","0"
"97","50","Diglett","ground","ground","10","55","30","35","45","90","265",NA,NA,"0"
"98","51","Dugtrio","ground","ground","35","100","60","50","70","110","425",NA,NA,"0"
"99","52","Meowth","normal","dark","40","35","35","50","40","90","290",NA,NA,"0"
"100","53","Persian","normal","dark","65","60","60","75","65","115","440",NA,NA,"0"
"101","58","Growlithe","fire",NA,"55","70","45","70","50","60","350","0.7","19","0"
"102","59","Arcanine","fire",NA,"90","110","80","100","80","95","555","1.9","155","0"
"103","66","Machop","fighting",NA,"70","80","50","35","35","35","305","0.8","19.5","0"
"104","67","Machoke","fighting",NA,"80","100","70","50","60","45","405","1.5","70.5","0"
"105","68","Machamp","fighting",NA,"90","130","80","65","85","55","505","1.6","130","0"
"106","77","Ponyta","fire",NA,"50","85","55","65","65","90","410","1","30","0"
"107","78","Rapidash","fire",NA,"65","100","70","80","80","105","500","1.7","95","0"
"108","83","Farfetch'd","normal","flying","52","90","55","58","62","60","377","0.8","15","0"
"109","90","Shellder","water",NA,"30","65","100","45","25","40","305","0.3","4","0"
"110","91","Cloyster","water","ice","50","95","180","85","45","70","525","1.5","132.5","0"
"111","92","Gastly","ghost","poison","30","35","30","100","35","80","310","1.3","0.1","0"
"112","93","Haunter","ghost","poison","45","50","45","115","55","95","405","1.6","0.1","0"
"113","94","Gengar","ghost","poison","60","65","80","170","95","130","600","1.5","40.5","0"
"114","95","Onix","rock","ground","35","45","160","30","45","70","385","8.8","210","0"
"115","98","Krabby","water",NA,"30","105","90","25","25","50","325","0.4","6.5","0"
"116","99","Kingler","water",NA,"55","130","115","50","50","75","475","1.3","60","0"
"117","106","Hitmonlee","fighting",NA,"50","120","53","35","110","87","455","1.5","49.8","0"
"118","107","Hitmonchan","fighting",NA,"50","105","79","35","110","76","455","1.4","50.2","0"
"119","109","Koffing","poison",NA,"40","65","95","60","45","35","340","0.6","1","0"
"120","110","Weezing","poison",NA,"65","90","120","85","70","60","490","1.2","9.5","0"
"121","111","Rhyhorn","ground","rock","80","85","95","30","30","25","345","1","115","0"
"122","112","Rhydon","ground","rock","105","130","120","45","45","40","485","1.9","120","0"
"123","118","Goldeen","water",NA,"45","67","60","35","50","63","320","0.6","15","0"
"124","119","Seaking","water",NA,"80","92","65","65","80","68","450","1.3","39","0"
"125","122","Mr. Mime","psychic","fairy","40","45","65","100","120","90","460","1.3","54.5","0"
"126","129","Magikarp","water",NA,"20","10","55","15","20","80","200","0.9","10","0"
"127","130","Gyarados","water","flying","95","155","109","70","130","81","640","6.5","235","0"
"128","131","Lapras","water","ice","130","85","80","85","95","60","535","2.5","220","0"
"129","132","Ditto","normal",NA,"48","48","48","48","48","48","288","0.3","4","0"
"130","133","Eevee","normal",NA,"55","55","50","45","65","55","325","0.3","6.5","0"
"131","134","Vaporeon","water",NA,"130","65","60","110","95","65","525","1","29","0"
"132","135","Jolteon","electric",NA,"65","65","60","110","95","130","525","0.8","24.5","0"
"133","136","Flareon","fire",NA,"65","130","60","95","110","65","525","0.9","25","0"
"134","143","Snorlax","normal",NA,"160","110","65","65","110","30","540","2.1","460","0"
"135","163","Hoothoot","normal","flying","60","30","30","36","56","50","262","0.7","21.2","0"
"136","164","Noctowl","normal","flying","100","50","50","86","96","70","452","1.6","40.8","0"
"137","170","Chinchou","water","electric","75","38","38","56","56","67","330","0.5","12","0"
"138","171","Lanturn","water","electric","125","58","58","76","76","67","460","1.2","22.5","0"
"139","172","Pichu","electric",NA,"20","40","15","35","35","60","205","0.3","2","0"
"140","173","Cleffa","fairy",NA,"50","25","28","45","55","15","218","0.3","3","0"
"141","175","Togepi","fairy",NA,"35","20","65","40","65","20","245","0.3","1.5","0"
"142","176","Togetic","fairy","flying","55","40","85","80","105","40","405","0.6","3.2","0"
"143","177","Natu","psychic","flying","40","50","45","70","45","70","320","0.2","2","0"
"144","178","Xatu","psychic","flying","65","75","70","95","70","95","470","1.5","15","0"
"145","182","Bellossom","grass",NA,"75","80","95","90","100","50","490","0.4","5.8","0"
"146","185","Sudowoodo","rock",NA,"70","100","115","30","65","30","410","1.2","38","0"
"147","194","Wooper","water","ground","55","45","45","25","25","15","210","0.4","8.5","0"
"148","195","Quagsire","water","ground","95","85","85","65","65","35","430","1.4","75","0"
"149","196","Espeon","psychic",NA,"65","65","60","130","95","110","525","0.9","26.5","0"
"150","197","Umbreon","dark",NA,"95","65","110","60","130","65","525","1","27","0"
"151","202","Wobbuffet","psychic",NA,"190","33","58","33","58","33","405","1.3","28.5","0"
"152","208","Steelix","steel","ground","75","125","230","55","95","30","610","9.2","400","0"
"153","211","Qwilfish","water","poison","65","95","85","55","55","85","440","0.5","3.9","0"
"154","213","Shuckle","bug","rock","20","10","230","10","230","5","505","0.6","20.5","0"
"155","215","Sneasel","dark","ice","55","95","55","35","75","115","430","0.9","28","0"
"156","220","Swinub","ice","ground","50","50","40","30","30","50","250","0.4","6.5","0"
"157","221","Piloswine","ice","ground","100","100","80","60","60","50","450","1.1","55.8","0"
"158","222","Corsola","water","rock","65","55","95","65","95","35","410","0.6","5","0"
"159","223","Remoraid","water",NA,"35","65","35","65","35","65","300","0.6","12","0"
"160","224","Octillery","water",NA,"75","105","75","105","75","45","480","0.9","28.5","0"
"161","225","Delibird","ice","flying","45","55","45","65","45","75","330","0.9","16","0"
"162","226","Mantine","water","flying","85","40","70","80","140","70","485","2.1","220","0"
"163","236","Tyrogue","fighting",NA,"35","35","35","35","35","35","210","0.7","21","0"
"164","237","Hitmontop","fighting",NA,"50","95","95","35","110","70","455","1.4","48","0"
"165","246","Larvitar","rock","ground","50","64","50","45","50","41","300","0.6","72","0"
"166","247","Pupitar","rock","ground","70","84","70","65","70","51","410","1.2","152","0"
"167","248","Tyranitar","rock","dark","100","164","150","95","120","71","700","2","202","0"
"168","263","Zigzagoon","normal",NA,"38","30","41","30","41","60","240","0.4","17.5","0"
"169","264","Linoone","normal",NA,"78","70","61","50","61","100","420","0.5","32.5","0"
"170","270","Lotad","water","grass","40","30","30","40","50","30","220","0.5","2.6","0"
"171","271","Lombre","water","grass","60","50","50","60","70","50","340","1.2","32.5","0"
"172","272","Ludicolo","water","grass","80","70","70","90","100","70","480","1.5","55","0"
"173","273","Seedot","grass",NA,"40","40","50","30","30","30","220","0.5","4","0"
"174","274","Nuzleaf","grass","dark","70","70","40","60","40","60","340","1","28","0"
"175","275","Shiftry","grass","dark","90","100","60","90","60","80","480","1.3","59.6","0"
"176","278","Wingull","water","flying","40","30","30","55","30","85","270","0.6","9.5","0"
"177","279","Pelipper","water","flying","60","50","100","95","70","65","440","1.2","28","0"
"178","280","Ralts","psychic","fairy","28","25","25","45","35","40","198","0.4","6.6","0"
"179","281","Kirlia","psychic","fairy","38","35","35","65","55","50","278","0.8","20.2","0"
"180","282","Gardevoir","psychic","fairy","68","85","65","165","135","100","618","1.6","48.4","0"
"181","290","Nincada","bug","ground","31","45","90","30","30","40","266","0.5","5.5","0"
"182","291","Ninjask","bug","flying","61","90","45","50","50","160","456","0.8","12","0"
"183","292","Shedinja","bug","ghost","1","90","45","30","30","40","236","0.8","1.2","0"
"184","302","Sableye","dark","ghost","50","85","125","85","115","20","480","0.5","11","0"
"185","303","Mawile","steel","fairy","50","105","125","55","95","50","480","0.6","11.5","0"
"186","309","Electrike","electric",NA,"40","45","40","65","40","65","295","0.6","15.2","0"
"187","310","Manectric","electric",NA,"70","75","80","135","80","135","575","1.5","40.2","0"
"188","315","Roselia","grass","poison","50","60","45","100","80","65","400","0.3","2","0"
"189","320","Wailmer","water",NA,"130","70","35","70","35","60","400","2","130","0"
"190","321","Wailord","water",NA,"170","90","45","90","45","60","500","14.5","398","0"
"191","324","Torkoal","fire",NA,"70","85","140","85","70","20","470","0.5","80.4","0"
"192","328","Trapinch","ground",NA,"45","100","45","45","45","10","290","0.7","15","0"
"193","329","Vibrava","ground","dragon","50","70","50","50","50","70","340","1.1","15.3","0"
"194","330","Flygon","ground","dragon","80","100","80","80","80","100","520","2","82","0"
"195","337","Lunatone","rock","psychic","90","55","65","95","85","70","460","1","168","0"
"196","338","Solrock","rock","psychic","90","95","85","55","65","70","460","1.2","154","0"
"197","339","Barboach","water","ground","50","48","43","46","41","60","288","0.4","1.9","0"
"198","340","Whiscash","water","ground","110","78","73","76","71","60","468","0.9","23.6","0"
"199","341","Corphish","water",NA,"43","80","65","50","35","35","308","0.6","11.5","0"
"200","342","Crawdaunt","water","dark","63","120","85","90","55","55","468","1.1","32.8","0"
"201","343","Baltoy","ground","psychic","40","40","55","40","70","55","300","0.5","21.5","0"
"202","344","Claydol","ground","psychic","60","70","105","70","120","75","500","1.5","108","0"
"203","349","Feebas","water",NA,"20","15","20","10","55","80","200","0.6","7.4","0"
"204","350","Milotic","water",NA,"95","60","79","100","125","81","540","6.2","162","0"
"205","355","Duskull","ghost",NA,"20","40","90","30","90","25","295","0.8","15","0"
"206","356","Dusclops","ghost",NA,"40","70","130","60","130","25","455","1.6","30.6","0"
"207","360","Wynaut","psychic",NA,"95","23","48","23","48","23","260","0.6","14","0"
"208","361","Snorunt","ice",NA,"50","50","50","50","50","50","300","0.7","16.8","0"
"209","362","Glalie","ice",NA,"80","120","80","120","80","100","580","1.5","256.5","0"
"210","406","Budew","grass","poison","40","30","35","50","70","55","280","0.2","1.2","0"
"211","407","Roserade","grass","poison","60","70","65","125","105","90","515","0.9","14.5","0"
"212","415","Combee","bug","flying","30","30","42","30","42","70","244","0.3","5.5","0"
"213","416","Vespiquen","bug","flying","70","80","102","80","102","40","474","1.2","38.5","0"
"214","420","Cherubi","grass",NA,"45","35","45","62","53","35","275","0.4","3.3","0"
"215","421","Cherrim","grass",NA,"70","60","70","87","78","85","450","0.5","9.3","0"
"216","422","Shellos","water",NA,"76","48","48","57","62","34","325","0.3","6.3","0"
"217","423","Gastrodon","water","ground","111","83","68","92","82","39","475","0.9","29.9","0"
"218","425","Drifloon","ghost","flying","90","50","34","60","44","70","348","0.4","1.2","0"
"219","426","Drifblim","ghost","flying","150","80","44","90","54","80","498","1.2","15","0"
"220","434","Stunky","poison","dark","63","63","47","41","41","74","329","0.4","19.2","0"
"221","435","Skuntank","poison","dark","103","93","67","71","61","84","479","1","38","0"
"222","436","Bronzor","steel","psychic","57","24","86","24","86","23","300","0.5","60.5","0"
"223","437","Bronzong","steel","psychic","67","89","116","79","116","33","500","1.3","187","0"
"224","438","Bonsly","rock",NA,"50","80","95","10","45","10","290","0.5","15","0"
"225","439","Mime Jr.","psychic","fairy","20","25","45","70","90","60","310","0.6","13","0"
"226","446","Munchlax","normal",NA,"135","85","40","40","85","5","390","0.6","105","0"
"227","447","Riolu","fighting",NA,"40","70","40","35","40","60","285","0.7","20.2","0"
"228","448","Lucario","fighting","steel","70","145","88","140","70","112","625","1.2","54","0"
"229","449","Hippopotas","ground",NA,"68","72","78","38","42","32","330","0.8","49.5","0"
"230","450","Hippowdon","ground",NA,"108","112","118","68","72","47","525","2","300","0"
"231","451","Skorupi","poison","bug","40","50","90","30","55","65","330","0.8","12","0"
"232","452","Drapion","poison","dark","70","90","110","60","75","95","500","1.3","61.5","0"
"233","453","Croagunk","poison","fighting","48","61","40","61","40","50","300","0.7","23","0"
"234","454","Toxicroak","poison","fighting","83","106","65","86","65","85","490","1.3","44.4","0"
"235","458","Mantyke","water","flying","45","20","50","60","120","50","345","1","65","0"
"236","459","Snover","grass","ice","60","62","50","62","60","40","334","1","50.5","0"
"237","460","Abomasnow","grass","ice","90","132","105","132","105","30","594","2.2","135.5","0"
"238","461","Weavile","dark","ice","70","120","65","45","85","125","510","1.1","34","0"
"239","464","Rhyperior","ground","rock","115","140","130","55","55","40","535","2.4","282.8","0"
"240","468","Togekiss","fairy","flying","85","50","95","120","115","80","545","1.5","38","0"
"241","470","Leafeon","grass",NA,"65","110","130","60","65","95","525","1","25.5","0"
"242","471","Glaceon","ice",NA,"65","60","110","130","95","65","525","0.8","25.9","0"
"243","473","Mamoswine","ice","ground","110","130","80","70","60","80","530","2.5","291","0"
"244","475","Gallade","psychic","fighting","68","165","95","65","115","110","618","1.6","52","0"
"245","477","Dusknoir","ghost",NA,"45","100","135","65","135","45","525","2.2","106.6","0"
"246","478","Froslass","ice","ghost","70","80","70","80","70","110","480","1.3","26.6","0"
"247","479","Rotom","electric","ghost","50","65","107","105","107","86","520","0.3","0.3","0"
"248","509","Purrloin","dark",NA,"41","50","37","50","37","66","281","0.4","10.1","0"
"249","510","Liepard","dark",NA,"64","88","50","88","50","106","446","1.1","37.5","0"
"250","517","Munna","psychic",NA,"76","25","45","67","55","24","292","0.6","23.3","0"
"251","518","Musharna","psychic",NA,"116","55","85","107","95","29","487","1.1","60.5","0"
"252","519","Pidove","normal","flying","50","55","50","36","30","43","264","0.3","2.1","0"
"253","520","Tranquill","normal","flying","62","77","62","50","42","65","358","0.6","15","0"
"254","521","Unfezant","normal","flying","80","115","80","65","55","93","488","1.2","29","0"
"255","524","Roggenrola","rock",NA,"55","75","85","25","25","15","280","0.4","18","0"
"256","525","Boldore","rock",NA,"70","105","105","50","40","20","390","0.9","102","0"
"257","526","Gigalith","rock",NA,"85","135","130","60","80","25","515","1.7","260","0"
"258","527","Woobat","psychic","flying","65","45","43","55","43","72","323","0.4","2.1","0"
"259","528","Swoobat","psychic","flying","67","57","55","77","55","114","425","0.9","10.5","0"
"260","529","Drilbur","ground",NA,"60","85","40","30","45","68","328","0.3","8.5","0"
"261","530","Excadrill","ground","steel","110","135","60","50","65","88","508","0.7","40.4","0"
"262","532","Timburr","fighting",NA,"75","80","55","25","35","35","305","0.6","12.5","0"
"263","533","Gurdurr","fighting",NA,"85","105","85","40","50","40","405","1.2","40","0"
"264","534","Conkeldurr","fighting",NA,"105","140","95","55","65","45","505","1.4","87","0"
"265","535","Tympole","water",NA,"50","50","40","50","40","64","294","0.5","4.5","0"
"266","536","Palpitoad","water","ground","75","65","55","65","55","69","384","0.8","17","0"
"267","537","Seismitoad","water","ground","105","95","75","85","75","74","509","1.5","62","0"
"268","538","Throh","fighting",NA,"120","100","85","30","85","45","465","1.3","55.5","0"
"269","539","Sawk","fighting",NA,"75","125","75","30","75","85","465","1.4","51","0"
"270","546","Cottonee","grass","fairy","40","27","60","37","50","66","280","0.3","0.6","0"
"271","547","Whimsicott","grass","fairy","60","67","85","77","75","116","480","0.7","6.6","0"
"272","550","Basculin","water",NA,"70","92","65","80","55","98","460","1","18","0"
"273","554","Darumaka","fire",NA,"70","90","45","15","45","50","315","0.6","37.5","0"
"274","555","Darmanitan","fire","fire","105","30","105","140","105","55","540","1.3","92.9","0"
"275","556","Maractus","grass",NA,"75","86","67","106","67","60","461","1","28","0"
"276","557","Dwebble","bug","rock","50","65","85","35","35","55","325","0.3","14.5","0"
"277","558","Crustle","bug","rock","70","105","125","65","75","45","485","1.4","200","0"
"278","559","Scraggy","dark","fighting","50","75","70","35","70","48","348","0.6","11.8","0"
"279","560","Scrafty","dark","fighting","65","90","115","45","115","58","488","1.1","30","0"
"280","561","Sigilyph","psychic","flying","72","58","80","103","80","97","490","1.4","14","0"
"281","562","Yamask","ghost",NA,"38","30","85","55","65","30","303","0.5","1.5","0"
"282","563","Cofagrigus","ghost",NA,"58","50","145","95","105","30","483","1.7","76.5","0"
"283","568","Trubbish","poison",NA,"50","50","62","40","62","65","329","0.6","31","0"
"284","569","Garbodor","poison",NA,"80","95","82","60","82","75","474","1.9","107.3","0"
"285","572","Minccino","normal",NA,"55","50","40","40","40","75","300","0.4","5.8","0"
"286","573","Cinccino","normal",NA,"75","95","60","65","60","115","470","0.5","7.5","0"
"287","574","Gothita","psychic",NA,"45","30","50","55","65","45","290","0.4","5.8","0"
"288","575","Gothorita","psychic",NA,"60","45","70","75","85","55","390","0.7","18","0"
"289","576","Gothitelle","psychic",NA,"70","55","95","95","110","65","490","1.5","44","0"
"290","577","Solosis","psychic",NA,"45","30","40","105","50","20","290","0.3","1","0"
"291","578","Duosion","psychic",NA,"65","40","50","125","60","30","370","0.6","8","0"
"292","579","Reuniclus","psychic",NA,"110","65","75","125","85","30","490","1","20.1","0"
"293","582","Vanillite","ice",NA,"36","50","50","65","60","44","305","0.4","5.7","0"
"294","583","Vanillish","ice",NA,"51","65","65","80","75","59","395","1.1","41","0"
"295","584","Vanilluxe","ice",NA,"71","95","85","110","95","79","535","1.3","57.5","0"
"296","588","Karrablast","bug",NA,"50","75","45","40","45","60","315","0.5","5.9","0"
"297","589","Escavalier","bug","steel","70","135","105","60","105","20","495","1","33","0"
"298","592","Frillish","water","ghost","55","40","50","65","85","40","335","1.2","33","0"
"299","593","Jellicent","water","ghost","100","60","70","85","105","60","480","2.2","135","0"
"300","595","Joltik","bug","electric","50","47","50","57","50","65","319","0.1","0.6","0"
"301","596","Galvantula","bug","electric","70","77","60","97","60","108","472","0.8","14.3","0"
"302","597","Ferroseed","grass","steel","44","50","91","24","86","10","305","0.6","18.8","0"
"303","598","Ferrothorn","grass","steel","74","94","131","54","116","20","489","1","110","0"
"304","599","Klink","steel",NA,"40","55","70","45","60","30","300","0.3","21","0"
"305","600","Klang","steel",NA,"60","80","95","70","85","50","440","0.6","51","0"
"306","601","Klinklang","steel",NA,"60","100","115","70","85","90","520","0.6","81","0"
"307","605","Elgyem","psychic",NA,"55","55","55","85","55","30","335","0.5","9","0"
"308","606","Beheeyem","psychic",NA,"75","75","75","125","95","40","485","1","34.5","0"
"309","607","Litwick","ghost","fire","50","30","55","65","55","20","275","0.3","3.1","0"
"310","608","Lampent","ghost","fire","60","40","60","95","60","55","370","0.6","13","0"
"311","609","Chandelure","ghost","fire","60","55","90","145","90","80","520","1","34.3","0"
"312","610","Axew","dragon",NA,"46","87","60","30","40","57","320","0.6","18","0"
"313","611","Fraxure","dragon",NA,"66","117","70","40","50","67","410","1","36","0"
"314","612","Haxorus","dragon",NA,"76","147","90","60","70","97","540","1.8","105.5","0"
"315","613","Cubchoo","ice",NA,"55","70","40","60","40","40","305","0.5","8.5","0"
"316","614","Beartic","ice",NA,"95","130","80","70","80","50","505","2.6","260","0"
"317","616","Shelmet","bug",NA,"50","40","85","40","65","25","305","0.4","7.7","0"
"318","617","Accelgor","bug",NA,"80","70","40","100","60","145","495","0.8","25.3","0"
"319","618","Stunfisk","ground","electric","109","66","84","81","99","32","471","0.7","11","0"
"320","622","Golett","ground","ghost","59","74","50","35","50","35","303","1","92","0"
"321","623","Golurk","ground","ghost","89","124","80","55","80","55","483","2.8","330","0"
"322","624","Pawniard","dark","steel","45","85","70","40","40","60","340","0.5","10.2","0"
"323","625","Bisharp","dark","steel","65","125","100","60","70","70","490","1.6","70","0"
"324","627","Rufflet","normal","flying","70","83","50","37","50","60","350","0.5","10.5","0"
"325","628","Braviary","normal","flying","100","123","75","57","75","80","510","1.5","41","0"
"326","629","Vullaby","dark","flying","70","55","75","45","65","60","370","0.5","9","0"
"327","630","Mandibuzz","dark","flying","110","65","105","55","95","80","510","1.2","39.5","0"
"328","631","Heatmor","fire",NA,"85","97","66","105","66","65","484","1.4","58","0"
"329","632","Durant","bug","steel","58","109","112","48","48","109","484","0.3","33","0"
"330","633","Deino","dark","dragon","52","65","50","45","50","38","300","0.8","17.3","0"
"331","634","Zweilous","dark","dragon","72","85","70","65","70","58","420","1.4","50","0"
"332","635","Hydreigon","dark","dragon","92","105","90","125","90","98","600","1.8","160","0"
"333","659","Bunnelby","normal",NA,"38","36","38","32","36","57","237","0.4","5","0"
"334","660","Diggersby","normal","ground","85","56","77","50","77","78","423","1","42.4","0"
"335","674","Pancham","fighting",NA,"67","82","62","46","48","43","348","0.6","8","0"
